Far field
"Theta"[deg]	"FarField1 []"	
6.50000000E+01	1.81830774E-01	
6.60000000E+01	1.67838440E-01	
6.70000000E+01	1.54346653E-01	
6.80000000E+01	1.41370164E-01	
6.90000000E+01	1.28922153E-01	
7.00000000E+01	1.17014265E-01	
7.10000000E+01	1.05656666E-01	
7.20000000E+01	9.48580955E-02	
7.30000000E+01	8.46259507E-02	
7.40000000E+01	7.49663651E-02	
7.50000000E+01	6.58843044E-02	
7.60000000E+01	5.73836664E-02	
7.70000000E+01	4.94673882E-02	
7.80000000E+01	4.21375562E-02	
7.90000000E+01	3.53955198E-02	
8.00000000E+01	2.92420044E-02	
8.10000000E+01	2.36772242E-02	
8.20000000E+01	1.87009915E-02	
8.30000000E+01	1.43128219E-02	
8.40000000E+01	1.05120329E-02	
8.50000000E+01	7.29783490E-03	
8.60000000E+01	4.66941337E-03	
8.70000000E+01	2.62600011E-03	
8.80000000E+01	1.16693350E-03	
8.90000000E+01	2.91706258E-04	
9.00000000E+01	3.74560441E-33	
