Far field
"Theta"[deg]	"FarField1 []"	
-9.00000000E+01	0.00000000E+00	
-8.90000000E+01	2.91708056E-04	
-8.80000000E+01	1.16694069E-03	
-8.70000000E+01	2.62601628E-03	
-8.60000000E+01	4.66944210E-03	
-8.50000000E+01	7.29787973E-03	
-8.40000000E+01	1.05120973E-02	
-8.30000000E+01	1.43129095E-02	
-8.20000000E+01	1.87011057E-02	
-8.10000000E+01	2.36773684E-02	
-8.00000000E+01	2.92421820E-02	
-7.90000000E+01	3.53957341E-02	
-7.80000000E+01	4.21378104E-02	
-7.70000000E+01	4.94676853E-02	
-7.60000000E+01	5.73840096E-02	
-7.50000000E+01	6.58846966E-02	
-7.40000000E+01	7.49668092E-02	
-7.30000000E+01	8.46264493E-02	
-7.20000000E+01	9.48586511E-02	
-7.10000000E+01	1.05657281E-01	
-7.00000000E+01	1.17014942E-01	
-6.90000000E+01	1.28922893E-01	
-6.80000000E+01	1.41370970E-01	
-6.70000000E+01	1.54347527E-01	
-6.60000000E+01	1.67839382E-01	
-6.50000000E+01	1.81831786E-01	
-6.40000000E+01	1.96308394E-01	
-6.30000000E+01	2.11251260E-01	
-6.20000000E+01	2.26640848E-01	
-6.10000000E+01	2.42456048E-01	
-6.00000000E+01	2.58674218E-01	
-5.90000000E+01	2.75271236E-01	
-5.80000000E+01	2.92221570E-01	
-5.70000000E+01	3.09498354E-01	
-5.60000000E+01	3.27073487E-01	
-5.50000000E+01	3.44917737E-01	
-5.40000000E+01	3.63000860E-01	
-5.30000000E+01	3.81291729E-01	
-5.20000000E+01	3.99758464E-01	
-5.10000000E+01	4.18368584E-01	
-5.00000000E+01	4.37089149E-01	
-4.90000000E+01	4.55886912E-01	
-4.80000000E+01	4.74728480E-01	
-4.70000000E+01	4.93580465E-01	
-4.60000000E+01	5.12409640E-01	
-4.50000000E+01	5.31183093E-01	
-4.40000000E+01	5.49868378E-01	
-4.30000000E+01	5.68433653E-01	
-4.20000000E+01	5.86847825E-01	
-4.10000000E+01	6.05080676E-01	
-4.00000000E+01	6.23102984E-01	
-3.90000000E+01	6.40886636E-01	
-3.80000000E+01	6.58404728E-01	
-3.70000000E+01	6.75631655E-01	
-3.60000000E+01	6.92543190E-01	
-3.50000000E+01	7.09116545E-01	
-3.40000000E+01	7.25330427E-01	
-3.30000000E+01	7.41165077E-01	
-3.20000000E+01	7.56602295E-01	
-3.10000000E+01	7.71625458E-01	
-3.00000000E+01	7.86219519E-01	
-2.90000000E+01	8.00370995E-01	
-2.80000000E+01	8.14067948E-01	
-2.70000000E+01	8.27299953E-01	
-2.60000000E+01	8.40058049E-01	
-2.50000000E+01	8.52334692E-01	
-2.40000000E+01	8.64123689E-01	
-2.30000000E+01	8.75420129E-01	
-2.20000000E+01	8.86220309E-01	
-2.10000000E+01	8.96521645E-01	
-2.00000000E+01	9.06322591E-01	
-1.90000000E+01	9.15622540E-01	
-1.80000000E+01	9.24421733E-01	
-1.70000000E+01	9.32721161E-01	
-1.60000000E+01	9.40522462E-01	
-1.50000000E+01	9.47827827E-01	
-1.40000000E+01	9.54639896E-01	
-1.30000000E+01	9.60961668E-01	
-1.20000000E+01	9.66796397E-01	
-1.10000000E+01	9.72147507E-01	
-1.00000000E+01	9.77018503E-01	
-9.00000000E+00	9.81412884E-01	
-8.00000000E+00	9.85334067E-01	
-7.00000000E+00	9.88785317E-01	
-6.00000000E+00	9.91769673E-01	
-5.00000000E+00	9.94289898E-01	
-4.00000000E+00	9.96348417E-01	
-3.00000000E+00	9.97947279E-01	
-2.00000000E+00	9.99088117E-01	
-1.00000000E+00	9.99772117E-01	
0.00000000E+00	1.00000000E+00	
1.00000000E+00	9.99772008E-01	
2.00000000E+00	9.99087900E-01	
3.00000000E+00	9.97946954E-01	
4.00000000E+00	9.96347985E-01	
5.00000000E+00	9.94289360E-01	
6.00000000E+00	9.91769030E-01	
7.00000000E+00	9.88784570E-01	
8.00000000E+00	9.85333218E-01	
9.00000000E+00	9.81411934E-01	
1.00000000E+01	9.77017455E-01	
1.10000000E+01	9.72146363E-01	
1.20000000E+01	9.66795158E-01	
1.30000000E+01	9.60960337E-01	
1.40000000E+01	9.54638477E-01	
1.50000000E+01	9.47826320E-01	
1.60000000E+01	9.40520872E-01	
1.70000000E+01	9.32719491E-01	
1.80000000E+01	9.24419986E-01	
1.90000000E+01	9.15620718E-01	
2.00000000E+01	9.06320698E-01	
2.10000000E+01	8.96519685E-01	
2.20000000E+01	8.86218285E-01	
2.30000000E+01	8.75418046E-01	
2.40000000E+01	8.64121550E-01	
2.50000000E+01	8.52332501E-01	
2.60000000E+01	8.40055810E-01	
2.70000000E+01	8.27297670E-01	
2.80000000E+01	8.14065626E-01	
2.90000000E+01	8.00368637E-01	
3.00000000E+01	7.86217131E-01	
3.10000000E+01	7.71623045E-01	
3.20000000E+01	7.56599860E-01	
3.30000000E+01	7.41162625E-01	
3.40000000E+01	7.25327964E-01	
3.50000000E+01	7.09114075E-01	
3.60000000E+01	6.92540718E-01	
3.70000000E+01	6.75629186E-01	
3.80000000E+01	6.58402265E-01	
3.90000000E+01	6.40884185E-01	
4.00000000E+01	6.23100550E-01	
4.10000000E+01	6.05078263E-01	
4.20000000E+01	5.86845438E-01	
4.30000000E+01	5.68431296E-01	
4.40000000E+01	5.49866055E-01	
4.50000000E+01	5.31180809E-01	
4.60000000E+01	5.12407397E-01	
4.70000000E+01	4.93578268E-01	
4.80000000E+01	4.74726332E-01	
4.90000000E+01	4.55884817E-01	
5.00000000E+01	4.37087109E-01	
5.10000000E+01	4.18366603E-01	
5.20000000E+01	3.99756544E-01	
5.30000000E+01	3.81289871E-01	
5.40000000E+01	3.62999068E-01	
5.50000000E+01	3.44916012E-01	
5.60000000E+01	3.27071831E-01	
5.70000000E+01	3.09496768E-01	
5.80000000E+01	2.92220055E-01	
5.90000000E+01	2.75269793E-01	
6.00000000E+01	2.58672846E-01	
6.10000000E+01	2.42454749E-01	
6.20000000E+01	2.26639622E-01	
6.30000000E+01	2.11250106E-01	
6.40000000E+01	1.96307311E-01	
