Far field
"Theta"[deg]	"FarField1 []"	
-2.30000000E+01	7.72752911E-01	
-2.20000000E+01	7.90888983E-01	
-2.10000000E+01	8.08438805E-01	
-2.00000000E+01	8.25369729E-01	
-1.90000000E+01	8.41651049E-01	
-1.80000000E+01	8.57254007E-01	
-1.70000000E+01	8.72151775E-01	
-1.60000000E+01	8.86319435E-01	
-1.50000000E+01	8.99733940E-01	
-1.40000000E+01	9.12374071E-01	
-1.30000000E+01	9.24220388E-01	
-1.20000000E+01	9.35255173E-01	
-1.10000000E+01	9.45462366E-01	
-1.00000000E+01	9.54827503E-01	
-9.00000000E+00	9.63337651E-01	
-8.00000000E+00	9.70981344E-01	
-7.00000000E+00	9.77748520E-01	
-6.00000000E+00	9.83630457E-01	
-5.00000000E+00	9.88619723E-01	
-4.00000000E+00	9.92710119E-01	
-3.00000000E+00	9.95896639E-01	
-2.00000000E+00	9.98175429E-01	
-1.00000000E+00	9.99543759E-01	
0.00000000E+00	1.00000000E+00	
1.00000000E+00	9.99543610E-01	
2.00000000E+00	9.98175131E-01	
3.00000000E+00	9.95896192E-01	
4.00000000E+00	9.92709525E-01	
5.00000000E+00	9.88618984E-01	
6.00000000E+00	9.83629576E-01	
7.00000000E+00	9.77747498E-01	
8.00000000E+00	9.70980186E-01	
9.00000000E+00	9.63336359E-01	
1.00000000E+01	9.54826081E-01	
1.10000000E+01	9.45460819E-01	
1.20000000E+01	9.35253505E-01	
1.30000000E+01	9.24218605E-01	
1.40000000E+01	9.12372177E-01	
1.50000000E+01	8.99731941E-01	
1.60000000E+01	8.86317338E-01	
1.70000000E+01	8.72149586E-01	
1.80000000E+01	8.57251732E-01	
1.90000000E+01	8.41648695E-01	
2.00000000E+01	8.25367303E-01	
2.10000000E+01	8.08436315E-01	
2.20000000E+01	7.90886435E-01	
2.30000000E+01	7.72750314E-01	
2.40000000E+01	7.54062533E-01	
2.50000000E+01	7.34859573E-01	
2.60000000E+01	7.15179775E-01	
2.70000000E+01	6.95063270E-01	
2.80000000E+01	6.74551906E-01	
2.90000000E+01	6.53689146E-01	
3.00000000E+01	6.32519952E-01	
3.10000000E+01	6.11090654E-01	
3.20000000E+01	5.89448799E-01	
3.30000000E+01	5.67642978E-01	
3.40000000E+01	5.45722647E-01	
3.50000000E+01	5.23737923E-01	
3.60000000E+01	5.01739372E-01	
3.70000000E+01	4.79777783E-01	
3.80000000E+01	4.57903926E-01	
3.90000000E+01	4.36168309E-01	
4.00000000E+01	4.14620923E-01	
4.10000000E+01	3.93310981E-01	
4.20000000E+01	3.72286660E-01	
4.30000000E+01	3.51594835E-01	
4.40000000E+01	3.31280818E-01	
4.50000000E+01	3.11388109E-01	
4.60000000E+01	2.91958140E-01	
4.70000000E+01	2.73030043E-01	
4.80000000E+01	2.54640419E-01	
4.90000000E+01	2.36823129E-01	
5.00000000E+01	2.19609097E-01	
5.10000000E+01	2.03026136E-01	
5.20000000E+01	1.87098794E-01	
5.30000000E+01	1.71848217E-01	
5.40000000E+01	1.57292045E-01	
5.50000000E+01	1.43444331E-01	
5.60000000E+01	1.30315482E-01	
5.70000000E+01	1.17912231E-01	
5.80000000E+01	1.06237641E-01	
5.90000000E+01	9.52911299E-02	
6.00000000E+01	8.50685304E-02	
6.10000000E+01	7.55621728E-02	
6.20000000E+01	6.67609985E-02	
6.30000000E+01	5.86506999E-02	
6.40000000E+01	5.12138848E-02	
6.50000000E+01	4.44302656E-02	
6.60000000E+01	3.82768719E-02	
6.70000000E+01	3.27282821E-02	
6.80000000E+01	2.77568762E-02	
6.90000000E+01	2.33331036E-02	
7.00000000E+01	1.94257658E-02	
7.10000000E+01	1.60023118E-02	
7.20000000E+01	1.30291420E-02	
7.30000000E+01	1.04719193E-02	
7.40000000E+01	8.29588498E-03	
7.50000000E+01	6.46617541E-03	
7.60000000E+01	4.94813798E-03	
7.70000000E+01	3.70764336E-03	
7.80000000E+01	2.71139135E-03	
7.90000000E+01	1.92720791E-03	
8.00000000E+01	1.32433086E-03	
8.10000000E+01	8.73682035E-04	
8.20000000E+01	5.48123621E-04	
8.30000000E+01	3.22696602E-04	
8.40000000E+01	1.74839469E-04	
8.50000000E+01	8.45854035E-05	
8.60000000E+01	3.47364226E-05	
8.70000000E+01	1.10130783E-05	
8.80000000E+01	2.17856840E-06	
8.90000000E+01	1.36278613E-07	
9.00000000E+01	1.84672555E-64	
