Far field
"Theta"[deg]	"FarField1 []"	
-9.00000000E+01	0.00000000E+00	
-8.90000000E+01	1.36279813E-07	
-8.80000000E+01	2.17858757E-06	
-8.70000000E+01	1.10131751E-05	
-8.60000000E+01	3.47367277E-05	
-8.50000000E+01	8.45861452E-05	
-8.40000000E+01	1.74840999E-04	
-8.30000000E+01	3.22699421E-04	
-8.20000000E+01	5.48128397E-04	
-8.10000000E+01	8.73689627E-04	
-8.00000000E+01	1.32434233E-03	
-7.90000000E+01	1.92722455E-03	
-7.80000000E+01	2.71141467E-03	
-7.70000000E+01	3.70767511E-03	
-7.60000000E+01	4.94818017E-03	
-7.50000000E+01	6.46623029E-03	
-7.40000000E+01	8.29595503E-03	
-7.30000000E+01	1.04720072E-02	
-7.20000000E+01	1.30292507E-02	
-7.10000000E+01	1.60024446E-02	
-7.00000000E+01	1.94259260E-02	
-6.90000000E+01	2.33332946E-02	
-6.80000000E+01	2.77571019E-02	
-6.70000000E+01	3.27285462E-02	
-6.60000000E+01	3.82771782E-02	
-6.50000000E+01	4.44306183E-02	
-6.40000000E+01	5.12142877E-02	
-6.30000000E+01	5.86511572E-02	
-6.20000000E+01	6.67615141E-02	
-6.10000000E+01	7.55627506E-02	
-6.00000000E+01	8.50691743E-02	
-5.90000000E+01	9.52918435E-02	
-5.80000000E+01	1.06238427E-01	
-5.70000000E+01	1.17913094E-01	
-5.60000000E+01	1.30316424E-01	
-5.50000000E+01	1.43445356E-01	
-5.40000000E+01	1.57293155E-01	
-5.30000000E+01	1.71849412E-01	
-5.20000000E+01	1.87100078E-01	
-5.10000000E+01	2.03027510E-01	
-5.00000000E+01	2.19610560E-01	
-4.90000000E+01	2.36824683E-01	
-4.80000000E+01	2.54642064E-01	
-4.70000000E+01	2.73031778E-01	
-4.60000000E+01	2.91959964E-01	
-4.50000000E+01	3.11390020E-01	
-4.40000000E+01	3.31282815E-01	
-4.30000000E+01	3.51596914E-01	
-4.20000000E+01	3.72288819E-01	
-4.10000000E+01	3.93313217E-01	
-4.00000000E+01	4.14623230E-01	
-3.90000000E+01	4.36170685E-01	
-3.80000000E+01	4.57906365E-01	
-3.70000000E+01	4.79780280E-01	
-3.60000000E+01	5.01741922E-01	
-3.50000000E+01	5.23740518E-01	
-3.40000000E+01	5.45725282E-01	
-3.30000000E+01	5.67645647E-01	
-3.20000000E+01	5.89451494E-01	
-3.10000000E+01	6.11093369E-01	
-3.00000000E+01	6.32522679E-01	
-2.90000000E+01	6.53691878E-01	
-2.80000000E+01	6.74554635E-01	
-2.70000000E+01	6.95065988E-01	
-2.60000000E+01	7.15182474E-01	
-2.50000000E+01	7.34862246E-01	
-2.40000000E+01	7.54065172E-01	
